nombre_completo_cursada,profesores,enlace
Fundamentos de Química - Alias 2 - 2do cuatrimestre (Plan 2024),ROCÍO CATALINA ALTAMIRANDA; MELISA BERENICE BONICA; PABLO MARTIN BOTTA; YANINA BELEN FARIAS; FLORENCIA GONZALEZ RICCO; LILIANA BEATRIZ MANFREDI; Raúl Ariel Procaccini; MARIA LAURA SANDOVAL; MARIA BEATRIZ VALCARCE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1555
Fundamentos de Química - Alias 3 (Plan 2024),FABIAN ALEJANDRO BUFFA; JUAN MANUEL BUFFA; VANESA MUÑOZ; MARCO JULIO SANCHEZ; MARIA LAURA SANDOVAL; Ruth Schmarsow,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1547
Fundamentos de Química - Alias 4 (Plan 2024),ROCÍO CATALINA ALTAMIRANDA; Ana Divito; Emilia Islas; Marita Naser; MARIA VICTORIA URANGA WASSERMANN; MARIA BEATRIZ VALCARCE; ERIKA ALEJANDRA WOLSKI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1545
Fundamentos de Sistemas Operativos (Plan 2024) / Sistemas Operativos (Plan 2010),BRUNO EDUARDO NICOLA CONSTANZO; ANA HAYDEE DI IORIO; VALENTINA FERNANDEZ; ROBERTO GIORDANO LERENA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1282
Fundamentos de la programación I,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1558
Fundamentos de los Lenguajes Formales (Plan 2024) / Lenguajes Formales (Plan 2010),SANDRA CIRIMELO; CLAUDIO JOSE GEA; JUAN IGNACIO ITURRIAGA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1277
Fundamentos del Videojuego,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1556
Física A - Turno Mañana,NATALIA VANESA BARTELS; CARMEN BENITEZ; MARIA ALEJANDRA TINTORI FERREIRA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1260
Física A - Turno Tarde,PABLO ACOSTA HAAB; JUAN CARLOS RODRIGUEZ; ESTEBAN GUILLERMO SZIGETY,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1259
Física de los Semiconductores,JUAN PABLO BARRANGU; Omar Gustavo Zabaleta,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1258
